Time (sec), Heater 1 (%), Temperature 1 (degC)
1.960662095546722412e+02,2.000000000000000000e+01,6.737999999999999545e+01
1.970666563510894775e+02,2.000000000000000000e+01,6.748000000000000398e+01
1.980658662319183350e+02,2.000000000000000000e+01,6.779999999999999716e+01
1.990690872669219971e+02,2.000000000000000000e+01,6.779999999999999716e+01
2.000715641975402832e+02,2.000000000000000000e+01,6.787000000000000455e+01
2.010719416141510010e+02,2.000000000000000000e+01,6.792000000000000171e+01
2.020725443363189697e+02,2.000000000000000000e+01,6.820999999999999375e+01
2.030740649700164795e+02,2.000000000000000000e+01,6.831000000000000227e+01
2.040745873451232910e+02,2.000000000000000000e+01,6.835999999999999943e+01
2.050762581825256348e+02,2.000000000000000000e+01,6.835999999999999943e+01
2.060773136615753174e+02,2.000000000000000000e+01,6.875000000000000000e+01
2.070862925052642822e+02,2.000000000000000000e+01,6.875000000000000000e+01
2.080902070999145508e+02,2.000000000000000000e+01,6.881999999999999318e+01
2.090858240127563477e+02,2.000000000000000000e+01,6.884999999999999432e+01
2.100795753002166748e+02,2.000000000000000000e+01,6.926000000000000512e+01
2.110844080448150635e+02,2.000000000000000000e+01,6.923999999999999488e+01
2.120896754264831543e+02,2.000000000000000000e+01,6.934000000000000341e+01
2.130954580307006836e+02,2.000000000000000000e+01,6.935999999999999943e+01
2.140971586704254150e+02,2.000000000000000000e+01,6.975000000000000000e+01
2.150957398414611816e+02,2.000000000000000000e+01,6.968000000000000682e+01
2.160900089740753174e+02,2.000000000000000000e+01,6.981999999999999318e+01
2.170929081439971924e+02,2.000000000000000000e+01,6.984999999999999432e+01
2.180834822654724121e+02,2.000000000000000000e+01,7.012000000000000455e+01
2.190855405330657959e+02,2.000000000000000000e+01,7.023999999999999488e+01
2.200863699913024902e+02,2.000000000000000000e+01,7.029000000000000625e+01
2.210787196159362793e+02,2.000000000000000000e+01,7.031000000000000227e+01
2.220788421630859375e+02,2.000000000000000000e+01,7.043000000000000682e+01
2.230761973857879639e+02,2.000000000000000000e+01,7.062999999999999545e+01
2.240778856277465820e+02,2.000000000000000000e+01,7.075000000000000000e+01
2.250773890018463135e+02,2.000000000000000000e+01,7.079999999999999716e+01
2.260768308639526367e+02,2.000000000000000000e+01,7.082999999999999829e+01
2.270786490440368652e+02,2.000000000000000000e+01,7.109000000000000341e+01
2.280844483375549316e+02,2.000000000000000000e+01,7.123999999999999488e+01
2.290793612003326416e+02,2.000000000000000000e+01,7.118999999999999773e+01
2.300774610042572021e+02,2.000000000000000000e+01,7.129000000000000625e+01
2.310812628269195557e+02,2.000000000000000000e+01,7.151000000000000512e+01
2.320820636749267578e+02,2.000000000000000000e+01,7.170000000000000284e+01
2.330883111953735352e+02,2.000000000000000000e+01,7.175000000000000000e+01
2.340869677066802979e+02,2.000000000000000000e+01,7.178000000000000114e+01
2.350853321552276611e+02,2.000000000000000000e+01,7.182999999999999829e+01
2.360821578502655029e+02,2.000000000000000000e+01,7.218999999999999773e+01
2.370735626220703125e+02,2.000000000000000000e+01,7.212000000000000455e+01
2.380757749080657959e+02,2.000000000000000000e+01,7.223999999999999488e+01
2.390800952911376953e+02,2.000000000000000000e+01,7.226999999999999602e+01
2.400797028541564941e+02,2.000000000000000000e+01,7.239000000000000057e+01
2.410822782516479492e+02,2.000000000000000000e+01,7.268000000000000682e+01
2.420786888599395752e+02,2.000000000000000000e+01,7.265999999999999659e+01
2.430819237232208252e+02,2.000000000000000000e+01,7.275000000000000000e+01
2.440826969146728516e+02,2.000000000000000000e+01,7.275000000000000000e+01
2.450860774517059326e+02,2.000000000000000000e+01,7.301999999999999602e+01
2.460853345394134521e+02,2.000000000000000000e+01,7.317000000000000171e+01
2.470877606868743896e+02,2.000000000000000000e+01,7.317000000000000171e+01
2.480871975421905518e+02,2.000000000000000000e+01,7.321999999999999886e+01
2.490879218578338623e+02,2.000000000000000000e+01,7.323999999999999488e+01
2.500886299610137939e+02,2.000000000000000000e+01,7.365999999999999659e+01
2.510919923782348633e+02,2.000000000000000000e+01,7.368000000000000682e+01
2.520919618606567383e+02,2.000000000000000000e+01,7.368000000000000682e+01
2.530931613445281982e+02,2.000000000000000000e+01,7.373000000000000398e+01
2.540931735038757324e+02,2.000000000000000000e+01,7.379999999999999716e+01
2.550937042236328125e+02,2.000000000000000000e+01,7.415000000000000568e+01
2.560946907997131348e+02,2.000000000000000000e+01,7.415000000000000568e+01
2.570969378948211670e+02,2.000000000000000000e+01,7.418999999999999773e+01
2.580977728366851807e+02,2.000000000000000000e+01,7.421999999999999886e+01
2.590968458652496338e+02,2.000000000000000000e+01,7.423999999999999488e+01
2.600992186069488525e+02,2.000000000000000000e+01,7.465999999999999659e+01
2.611031265258789062e+02,2.000000000000000000e+01,7.462999999999999545e+01
2.621053724288940430e+02,2.000000000000000000e+01,7.468000000000000682e+01
2.631037874221801758e+02,2.000000000000000000e+01,7.470999999999999375e+01
2.641071560382843018e+02,2.000000000000000000e+01,7.478000000000000114e+01
2.651106517314910889e+02,2.000000000000000000e+01,7.512000000000000455e+01
2.661018993854522705e+02,2.000000000000000000e+01,7.515000000000000568e+01
2.671062090396881104e+02,2.000000000000000000e+01,7.515000000000000568e+01
2.681079146862030029e+02,2.000000000000000000e+01,7.520000000000000284e+01
2.691042544841766357e+02,2.000000000000000000e+01,7.520000000000000284e+01
2.701002311706542969e+02,2.000000000000000000e+01,7.559000000000000341e+01
2.710937769412994385e+02,2.000000000000000000e+01,7.559000000000000341e+01
2.720887362957000732e+02,2.000000000000000000e+01,7.560999999999999943e+01
2.730906507968902588e+02,2.000000000000000000e+01,7.568000000000000682e+01
2.740931077003479004e+02,2.000000000000000000e+01,7.568000000000000682e+01
2.750947566032409668e+02,2.000000000000000000e+01,7.576000000000000512e+01
2.760951321125030518e+02,2.000000000000000000e+01,7.604999999999999716e+01
2.770980389118194580e+02,2.000000000000000000e+01,7.603000000000000114e+01
2.780951502323150635e+02,2.000000000000000000e+01,7.609999999999999432e+01
2.790976293087005615e+02,2.000000000000000000e+01,7.617000000000000171e+01
2.800995464324951172e+02,2.000000000000000000e+01,7.620000000000000284e+01
2.810998258590698242e+02,2.000000000000000000e+01,7.651000000000000512e+01
2.821032881736755371e+02,2.000000000000000000e+01,7.654000000000000625e+01
2.831004254817962646e+02,2.000000000000000000e+01,7.659000000000000341e+01
2.841008734703063965e+02,2.000000000000000000e+01,7.665999999999999659e+01
2.851030027866363525e+02,2.000000000000000000e+01,7.668000000000000682e+01
2.861059553623199463e+02,2.000000000000000000e+01,7.695000000000000284e+01
2.871044929027557373e+02,2.000000000000000000e+01,7.709999999999999432e+01
2.881059610843658447e+02,2.000000000000000000e+01,7.707999999999999829e+01
2.891085665225982666e+02,2.000000000000000000e+01,7.709999999999999432e+01
2.901101436614990234e+02,2.000000000000000000e+01,7.715000000000000568e+01
2.911142978668212891e+02,2.000000000000000000e+01,7.715000000000000568e+01
2.921114237308502197e+02,2.000000000000000000e+01,7.746999999999999886e+01
2.931123006343841553e+02,2.000000000000000000e+01,7.751000000000000512e+01
2.941137349605560303e+02,2.000000000000000000e+01,7.759000000000000341e+01
2.951141209602355957e+02,2.000000000000000000e+01,7.760999999999999943e+01
2.961198384761810303e+02,2.000000000000000000e+01,7.760999999999999943e+01
2.971190791130065918e+02,2.000000000000000000e+01,7.764000000000000057e+01
2.981197144985198975e+02,2.000000000000000000e+01,7.778000000000000114e+01
2.991207466125488281e+02,2.000000000000000000e+01,7.800000000000000000e+01
3.001233937740325928e+02,2.000000000000000000e+01,7.798000000000000398e+01
3.011261687278747559e+02,2.000000000000000000e+01,7.807999999999999829e+01
3.021247117519378662e+02,2.000000000000000000e+01,7.800000000000000000e+01
3.031251549720764160e+02,2.000000000000000000e+01,7.812999999999999545e+01
3.041263880729675293e+02,2.000000000000000000e+01,7.812999999999999545e+01
3.051280915737152100e+02,2.000000000000000000e+01,7.812999999999999545e+01
3.061311347484588623e+02,2.000000000000000000e+01,7.815000000000000568e+01
3.071303930282592773e+02,2.000000000000000000e+01,7.829999999999999716e+01
3.081324176788330078e+02,2.000000000000000000e+01,7.854000000000000625e+01
3.091321697235107422e+02,2.000000000000000000e+01,7.854000000000000625e+01
3.101336586475372314e+02,2.000000000000000000e+01,7.846999999999999886e+01
3.111266927719116211e+02,2.000000000000000000e+01,7.860999999999999943e+01
3.121208970546722412e+02,2.000000000000000000e+01,7.860999999999999943e+01
3.131175603866577148e+02,2.000000000000000000e+01,7.860999999999999943e+01
3.141232337951660156e+02,2.000000000000000000e+01,7.870999999999999375e+01
3.151165788173675537e+02,2.000000000000000000e+01,7.890999999999999659e+01
3.161109404563903809e+02,2.000000000000000000e+01,7.903000000000000114e+01
3.171103773117065430e+02,2.000000000000000000e+01,7.904999999999999716e+01
3.181031308174133301e+02,2.000000000000000000e+01,7.907999999999999829e+01
3.190946271419525146e+02,2.000000000000000000e+01,7.909999999999999432e+01
3.200975708961486816e+02,2.000000000000000000e+01,7.921999999999999886e+01
3.210930557250976562e+02,2.000000000000000000e+01,7.946999999999999886e+01
3.220952706336975098e+02,2.000000000000000000e+01,7.951999999999999602e+01
3.230966706275939941e+02,2.000000000000000000e+01,7.954000000000000625e+01
3.241017653942108154e+02,2.000000000000000000e+01,7.956999999999999318e+01
3.251028363704681396e+02,2.000000000000000000e+01,7.959000000000000341e+01
3.261014938354492188e+02,2.000000000000000000e+01,7.973999999999999488e+01
3.271027193069458008e+02,2.000000000000000000e+01,7.990999999999999659e+01
3.281036257743835449e+02,2.000000000000000000e+01,7.998000000000000398e+01
3.291039278507232666e+02,2.000000000000000000e+01,7.995999999999999375e+01
3.301093809604644775e+02,2.000000000000000000e+01,8.004999999999999716e+01
3.311084721088409424e+02,2.000000000000000000e+01,8.007999999999999829e+01
3.321106615066528320e+02,2.000000000000000000e+01,8.018000000000000682e+01
3.331129426956176758e+02,2.000000000000000000e+01,8.040000000000000568e+01
3.341113505363464355e+02,2.000000000000000000e+01,8.051999999999999602e+01
3.351165580749511719e+02,2.000000000000000000e+01,8.046999999999999886e+01
3.361190972328186035e+02,2.000000000000000000e+01,8.056999999999999318e+01
3.371202144622802734e+02,2.000000000000000000e+01,8.056999999999999318e+01
3.381205565929412842e+02,2.000000000000000000e+01,8.056999999999999318e+01
3.391234152317047119e+02,2.000000000000000000e+01,8.073999999999999488e+01
3.401203784942626953e+02,2.000000000000000000e+01,8.087999999999999545e+01
3.411229412555694580e+02,2.000000000000000000e+01,8.098000000000000398e+01
3.421266090869903564e+02,2.000000000000000000e+01,8.093000000000000682e+01
3.431259737014770508e+02,2.000000000000000000e+01,8.101000000000000512e+01
3.441254127025604248e+02,2.000000000000000000e+01,8.103000000000000114e+01
3.451284990310668945e+02,2.000000000000000000e+01,8.104999999999999716e+01
3.461277687549591064e+02,2.000000000000000000e+01,8.109999999999999432e+01
3.471279828548431396e+02,2.000000000000000000e+01,8.137000000000000455e+01
3.481310276985168457e+02,2.000000000000000000e+01,8.145000000000000284e+01
3.491311402320861816e+02,2.000000000000000000e+01,8.148999999999999488e+01
3.501349270343780518e+02,2.000000000000000000e+01,8.146999999999999886e+01
3.511366951465606689e+02,2.000000000000000000e+01,8.151999999999999602e+01
3.521368730068206787e+02,2.000000000000000000e+01,8.151999999999999602e+01
3.531367185115814209e+02,2.000000000000000000e+01,8.154000000000000625e+01
3.541337482929229736e+02,2.000000000000000000e+01,8.162000000000000455e+01
3.551386477947235107e+02,2.000000000000000000e+01,8.176000000000000512e+01
3.561401238441467285e+02,2.000000000000000000e+01,8.198000000000000398e+01
3.571348614692687988e+02,2.000000000000000000e+01,8.190999999999999659e+01
3.581327311992645264e+02,2.000000000000000000e+01,8.187999999999999545e+01
3.591358704566955566e+02,2.000000000000000000e+01,8.203000000000000114e+01
3.601386456489562988e+02,2.000000000000000000e+01,8.201000000000000512e+01
3.611425113677978516e+02,2.000000000000000000e+01,8.203000000000000114e+01
3.621432659626007080e+02,2.000000000000000000e+01,8.206000000000000227e+01
